Page,Element_Type,Element_Title,Permission_Required,Location,Parent_Component,Admin,Manager,Operator,Viewer,Notes
Add Contractor,Button,Submit Application,contractors.create,Footer,Submit Actions,Yes,Yes,No,No,Submit for approval
Add Contractor,Section,Document Checklist,contractors.documents,Form Section,Required Docs,Yes,Yes,No,No,Required document list
Contractor Profile,Page,Contractor Details,contractors.view,Main Content,Profile Display,Yes,Yes,Yes,Yes,Individual contractor profile
Contractor Profile,Section,Basic Information,contractors.view,Profile Content,Basic Info,Yes,Yes,Yes,Yes,Contractor basic details
Contractor Profile,Section,Contact Details,contractors.view,Profile Content,Contact Info,Yes,Yes,Yes,Yes,Contact information
Contractor Profile,Section,Documents,contractors.documents,Profile Content,Document List,Yes,Yes,Yes,Yes,Uploaded documents
Contractor Profile,Section,Compliance History,contractors.compliance,Profile Content,Compliance Record,Yes,Yes,Yes,No,Historical compliance data
Contractor Profile,Section,Work History,contractors.work,Profile Content,Work Record,Yes,Yes,Yes,Yes,Previous work assignments
Contractor Profile,Button,Edit Details,contractors.edit,Header,Profile Actions,Yes,Yes,No,No,Edit contractor information
Contractor Profile,Button,Upload Document,contractors.documents,Header,Document Actions,Yes,Yes,No,No,Add new documents
Contractor Profile,Button,Send Message,contractors.communicate,Header,Communication Actions,Yes,Yes,Yes,No,Contact contractor
Contractor Profile,Button,Assign Work,contractors.assign,Header,Assignment Actions,Yes,Yes,No,No,Assign work to contractor
Contractor Profile,Status,Approval Status,contractors.view,Profile Header,Status Display,Yes,Yes,Yes,Yes,Current approval status
Contractor Profile,Status,Compliance Status,contractors.compliance,Profile Header,Status Display,Yes,Yes,Yes,Yes,Compliance indicator
Contractor Profile,Table,Document List,contractors.documents,Document Section,Document Display,Yes,Yes,Yes,Yes,List of contractor documents
Contractor Profile,Button,Download Document,contractors.documents,Document Table,Document Actions,Yes,Yes,Yes,Yes,Download document files
Contractor Profile,Button,Verify Document,contractors.verify,Document Table,Verification Actions,Yes,Yes,No,No,Verify document authenticity
Contractor Profile,Status,Document Status,contractors.documents,Document Table,Status Display,Yes,Yes,Yes,Yes,Document verification status
Permits to Work,Page,Work Permits,permits.view,Main Content,PTW Management,Yes,Yes,Yes,No,Contractor work permits
Permits to Work,Table,Active Permits,permits.view,Main Content,Permit Display,Yes,Yes,Yes,No,Currently active permits
Permits to Work,Button,Issue Permit,permits.create,Header,Permit Actions,Yes,Yes,No,No,Create new work permit
Permits to Work,Button,Renew Permit,permits.renew,Table Row,Permit Actions,Yes,Yes,No,No,Renew existing permit
Permits to Work,Button,Close Permit,permits.close,Table Row,Permit Actions,Yes,Yes,Yes,No,Close completed permit
Permits to Work,Status,Permit Status,permits.view,Table Row,Status Display,Yes,Yes,Yes,No,Current permit status
Permits to Work,Button,View Details,permits.view,Table Row,Permit Actions,Yes,Yes,Yes,No,View permit details
Contractor Assignment,Modal,Work Assignment,contractors.assign,Modal,Assignment Form,Yes,Yes,No,No,Assign work to contractor
Contractor Assignment,Dropdown,Project Selection,contractors.assign,Assignment Form,Project Selector,Yes,Yes,No,No,Select project for assignment
Contractor Assignment,Dropdown,Task Type,contractors.assign,Assignment Form,Task Selector,Yes,Yes,No,No,Type of work to assign
Contractor Assignment,Input,Start Date,contractors.assign,Assignment Form,Date Selection,Yes,Yes,No,No,Assignment start date
Contractor Assignment,Input,End Date,contractors.assign,Assignment Form,Date Selection,Yes,Yes,No,No,Assignment end date
Contractor Assignment,Textarea,Work Description,contractors.assign,Assignment Form,Work Details,Yes,Yes,No,No,Detailed work description
Contractor Assignment,Button,Assign Work,contractors.assign,Assignment Form,Assignment Actions,Yes,Yes,No,No,Confirm work assignment
Database Dropdowns,Dropdown,Contractor Status,contractors.status,Form Elements,Status Selector,Yes,Yes,Yes,Yes,Change contractor status
Database Dropdowns,Dropdown,Risk Level,contractors.risk,Form Elements,Risk Selector,Yes,Yes,No,No,Assign risk classification
Database Dropdowns,Dropdown,Approval Status,contractors.approve,Form Elements,Approval Selector,Yes,Yes,No,No,Change approval status
Database Dropdowns,Dropdown,Document Type,contractors.documents,Form Elements,Document Selector,Yes,Yes,No,No,Select document type
Database Dropdowns,Dropdown,Assignment Status,contractors.assign,Form Elements,Assignment Selector,Yes,Yes,No,No,Work assignment status
